prefLabel,id
Fibromyalgia,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87497
Genetic Syndrome Associated with Congenital Heart Defect,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C168217
Syndrome,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28193
CSF1R wt Allele,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51347
Usually,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C114711
Usual,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102843
Age,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25150
Subject Age,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69260
Extensive,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47863
Chronic Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26940
Chronic Graft Versus Host Disease,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4981
Chronic,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14141
"Pain by Anatomic Descriptor, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53837
"Pain, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143725
Pain Distress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124175
Adverse Event Associated with Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53794
Usual Severity Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125299
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303
Have Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91126
Frequency of Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104600
Feel Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141521
How Much Distress Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125331
Disease or Disorder,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2991
Diagnosis Code,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154625
Date of Diagnosis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164339
Diagnosis Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49653
Diagnosis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15220
Negation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25594
NON Mouse,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14460
