prefLabel,id
Recent,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25280
Human,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14225
Neuroimaging,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173635
Possess,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89277
Have,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282
Neural,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25363
Report,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25375
Reported Information,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C188308
"Pain by Anatomic Descriptor, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53837
"Pain, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143725
Pain Distress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124175
Adverse Event Associated with Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53794
Usual Severity Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125299
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303
Have Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91126
Frequency of Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104600
Feel Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141521
How Much Distress Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125331
Useful,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107498
Brain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12439
CDISC Relationship Class,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103376
Stimulus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41210
Intensity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25539
Do,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86066
Address,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25407
Address,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86945
Central Nervous System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12438
Center,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25445
Conventional Osteosarcoma,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35870
Multi-Institutional Clinical Trial,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16104
Central Review,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C185326
Nervous System Finding,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36280
Nervous System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12755
Nervous,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25584
Nervousness,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74532
System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25700
Drug Delivery System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17423
"System, LOINC Axis 4",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40568
Drug Delivery System Category,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154465
System Dosing Unit,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C149975
Device System,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50311
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536
Clinical Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15206
Off Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29851
DICOM Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63537
Study Object,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45319
Multiple,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17648
Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25554
Story,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87192
Analysis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25391
Clinical Trial,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71104
Estrus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186249
Variability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85443
Object Relationship,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43570
Relationship,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25648
Concept Relationship,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42727
Cross,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81171
Approach,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25424
Approach,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176499
Potential,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62230
Multiple Metastases,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C180354
FOXD3 wt Allele,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92175
Effect,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25492
Ascend,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61465
Biochemical Pathway,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20633
Pathway,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54214
