prefLabel,id
Skin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12470
"Pain by Anatomic Descriptor, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53837
"Pain, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143725
Pain Distress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124175
Adverse Event Associated with Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53794
Usual Severity Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125299
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303
Have Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91126
Frequency of Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104600
Feel Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141521
How Much Distress Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125331
Shared,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38019
Common,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43461
Laser-Induced Fluorescence Endoscopy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20203
Life,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142142
Underlying,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154417
Physical Examination,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20989
Physical Restraint,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C158344
Physical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25618
Epidermal cGVHD Score 0,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C158591
Negative Surgical Margin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48621
Modeling,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16063
Limited a Lot,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C110983
Limited Walking Ability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121435
Limited Lifting Ability,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121422
Limited,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142988
