prefLabel,id
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95018
Use,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25340
Pain Assessment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20992
"Pain by Anatomic Descriptor, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53837
"Pain, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143725
Pain Distress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124175
Adverse Event Associated with Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53794
Usual Severity Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125299
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303
Have Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91126
Frequency of Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104600
Feel Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141521
How Much Distress Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125331
Assessment,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25217
Physical Examination,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20989
Adverse Event Definitely Related to Intervention,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53260
Certain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107561
Neuropathic Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96210
Information,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191
Protein Turn,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47946
Advanced,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25411
Technique,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16847
Data,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25474
Analysis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25391
Presentation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61388
Tumor Infiltrating Lymphocyte is Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162607
Ulceration is Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160707
Lymphatic Invasion is Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162605
MGMT Gene Promoter Methylation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C153562
Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25626
Extranodal Involvement,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C117309
Tumor Necrosis Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160703
Macroscopic Satellite Nodule is Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C159277
Myometrial Invasion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C159241
Tumor Cell Necrosis is Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162606
Tumor Regression,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C160836
MLH1 Gene Promoter Hypermethylation,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C158920
Radial-Femoral Lag Present,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C168417
Perineural Invasion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48260
Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63536
Clinical Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15206
Off Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29851
DICOM Study,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63537
Study Object,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45319
Employed,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25172
Artificial,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61464
