prefLabel,id
IPSS-R Risk Category Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162681
Serum CEA Level Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162046
Serum CA 19-9 Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162049
Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54722
Low Platelet Count,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162108
Low Mitosis-Karyorrhexis Index,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C118955
Low Hemoglobin Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162106
Value Below Reference Range,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78801
Low Calcium Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162104
"Malignant Germ Cell International Collaborative Risk Classification, Low",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C177354
IPSS Risk Category Low,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139301
Low LDH Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162102
Low Level,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129476
Low Leukocyte Count,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162110
Low Grade,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14161
"Back Pain, CTCAE 3.0",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C56010
"Back Pain, CTCAE 5.0",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C146739
Back Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41830
"Pain by Anatomic Descriptor, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53837
"Pain, CTCAE",http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143725
Pain Distress,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124175
Adverse Event Associated with Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53794
Usual Severity Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125299
Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3303
Have Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C91126
Frequency of Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C104600
Feel Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C141521
How Much Distress Pain,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125331
Significant,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41130
Statistical Significance,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61040
Patient Problem,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54027
Medical,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25261
Problem,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28020
Prevalence,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17010
Comprehensive Score for Financial Toxicity,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C121814
Cost,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C69088
